,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,min_spec_chi2,model_spec,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,SNR1,SNR2,flux_ratio_AV_corr,flux_ratio_AV_corr_2,flux_ratio_err_AV_corr,model_ratio,model_ratio_unattenuated,model_ratio_smoothed,model_ratio_smoothed_unattenuated,fig_name,FWHM,ratio_err
55,13976,14,uds,1.2728,0.4674,1.0217,0.8693,3.2499,0.2966,5.7690,0.7620,3.5252,1.2408,3.8299,3.2586,1.6962,0.5594,0.4975,0.0552,1.2198,0.4452,0.8192,0.1751,3.1786,1.5495,0.3076,0.2087,4.8191,2.0845,2.7536,1.7964,3.8009,3.2791,1.4506,1.2226,2.1568,1.8397,1.3137,2.1600,1.2226,2,2.7536,2,1.1015,1.1176,1.0217,0.4452,0.8693,0.1751,-22.8274,0.3183,46319640675.1395,0.1874,27276038366.7140,47917218837.6031,47917218837.6031,6.0970,1.0000,0.3499,1.0000,0.3499,22.3799,20.8411,20.1024,19.7381,19.4327,22.3171,20.3838,18.9864,18.7201,21.1210,19.0488,-20.9176,2.2775,10.3700,-1.4100,-11.7800,8.6000,862.8218,835.7736,1336.0174,858.2549,19.0763,19.1909,19.3692,21.0790,39.1062,74.0797,1.1301,1.1302,0.0088,1.1289,1.1599,1.1160,1.1466,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_14_13976_2D.pdf,5.9400,0.0088
60,39073,23,uds,0.9978,0.1379,0.1595,1.7881,1.0081,0.9418,4.6323,2.4757,3.4757,1.9088,2.7300,5.0420,1.1212,0.4372,0.2096,0.0917,,,,,1.0198,0.5506,0.7827,0.4323,5.2367,2.6490,,,11.4162,6.8287,1.9731,1.5027,2.7165,2.1656,,5.1780,1.5027,2,2.7300,3,1.1500,1.1549,0.1595,,1.7881,,-21.5852,0.2150,9964394073.2825,0.2974,13784943754.7113,14917244120.4370,14917244120.4370,4.5260,1.0000,0.2693,2.0000,-1.0000,23.4577,22.0622,21.4657,21.1472,20.9084,23.3754,21.6929,20.5514,20.3411,22.3034,20.6314,-18.9643,1.9920,9.1900,-1.5300,-10.7200,8.2000,355.8793,290.8089,476.4682,404.3817,20.5519,20.6472,20.7722,22.0934,23.6809,24.5918,1.2142,,,1.0713,1.1328,1.0687,1.1299,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_23_39073_2D.pdf,8.2600,
0,26380,1,aegis,2.6806,0.4187,1.0731,0.7518,1.2086,0.6281,14.4516,2.0937,15.2425,0.9545,12.5958,0.8510,3.3876,1.2323,0.3775,0.0645,1.0345,0.6309,0.7669,0.4829,0.9124,0.6329,1.1428,0.4408,15.9608,2.1162,15.2469,0.9974,19.3677,2.7370,3.7141,3.3736,2.8148,4.0169,3.3931,4.9476,2.8148,3,12.5958,3,1.0994,1.1140,1.2086,0.6329,0.6281,0.4408,-21.6044,0.3183,15017316413.2275,0.1874,8843179538.5693,15535268116.0233,15535268116.0233,6.5460,1.0000,0.2640,2.0000,-1.0000,22.8733,21.2703,20.5535,20.2104,19.8737,22.7962,20.8299,19.4842,19.1916,21.5645,19.5169,-19.8265,2.3198,9.7400,-99.0000,-99.0000,7.0000,309.5032,1170.7367,1428.9787,565.8632,19.5536,19.6574,19.7909,21.3135,45.8792,54.5202,1.1208,1.1209,0.0175,1.0976,1.1194,1.0941,1.1161,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_1_26380_2D.pdf,4.9300,0.0175
3,26829,3,aegis,1.2358,0.1310,0.9843,0.5490,1.2086,0.3870,3.3277,0.4381,2.9969,0.6143,2.8082,0.4305,1.4966,0.5396,0.1731,0.0914,1.0314,0.4805,0.5887,0.2845,1.4226,0.5417,0.4632,0.3243,3.5292,0.8119,2.5547,1.1187,4.2757,0.6595,0.8361,0.8483,0.7320,1.0374,0.9812,1.1163,0.7320,3,2.5547,2,1.1321,1.1368,1.2086,0.5417,0.3870,0.3243,-20.9050,0.3697,9158032255.6426,0.1874,4643554675.1659,4643554675.1659,4643554675.1659,5.1780,1.0000,0.3996,3.0000,-1.0000,23.8093,22.3377,21.6646,21.3553,21.0956,23.7341,21.9421,20.7434,20.5068,22.5964,20.8031,-19.6554,2.1447,9.5900,-99.0000,-99.0000,7.0000,200.8402,310.9844,453.6753,171.5690,20.8781,20.9959,21.1338,22.7170,26.2409,22.6340,1.1454,1.1456,0.0234,1.1059,1.1194,1.1038,1.1173,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_3_26829_2D.pdf,6.1900,0.0234
4,37275,11,aegis,2.6685,0.4197,1.2312,0.7270,2.0000,0.4727,2.7316,1.1288,3.1482,0.7349,2.2623,0.7460,3.2839,1.2156,0.3817,0.0756,1.5967,0.6021,0.6281,0.2016,2.3105,0.9728,0.4161,0.3329,3.3936,1.2332,3.0537,1.1080,2.4202,0.8389,1.0199,0.9300,0.7628,1.1937,1.0734,0.8337,0.7628,3,2.2623,3,1.0849,1.0990,2.0000,0.9728,0.4727,0.3329,-21.4110,0.5718,22576448973.5764,0.3983,15726366960.1535,15726366960.1535,15726366960.1535,6.8190,1.0000,0.3040,2.0000,-1.0000,23.2445,21.5775,20.8214,20.4576,20.1266,23.1706,21.1119,19.7286,19.4445,21.8895,19.7617,-19.8786,2.4231,9.9500,-4.8700,-14.8300,8.2000,267.9504,707.5496,1075.0276,364.5287,19.8446,19.9260,20.0898,21.7421,26.4608,39.3025,1.1003,1.1005,0.0159,1.0989,1.1153,1.0947,1.1108,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_11_37275_2D.pdf,4.6000,0.0159
5,21300,14,aegis,2.8393,0.3705,1.6099,0.5828,1.2781,0.7177,4.9605,1.8585,4.3625,1.7459,3.9689,1.0145,4.0505,1.0611,0.2978,0.0624,1.7536,0.6050,0.5474,0.2533,1.6446,0.4930,0.5767,0.2331,5.0587,2.1214,4.2512,1.8498,9.7986,1.0565,1.7691,1.6042,1.2106,1.9022,1.6276,2.3608,1.2106,3,3.9689,3,1.0948,1.1076,1.2781,0.4930,0.7177,0.2331,-21.9917,0.3697,24915178903.5854,0.3165,21334106388.6456,21334106388.6456,21334106388.6456,5.6450,1.0000,0.2161,3.0000,-1.0000,21.7910,20.2724,19.5984,19.3033,19.0080,21.7110,19.8555,18.5893,18.3682,20.5577,18.6496,-20.3316,2.1926,10.0000,-0.9000,-10.9000,8.4000,987.9809,2549.0740,3171.3055,1800.8682,18.5556,18.6663,18.7906,20.1704,86.4081,117.2852,1.1191,1.1191,0.0091,1.0948,1.1196,1.0924,1.1172,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_14_21300_2D.pdf,5.4100,0.0091
13,20236,1,cosmos,2.4292,0.4409,1.5427,0.6936,2.5500,0.4115,3.7993,1.2677,2.2691,1.2305,2.3033,0.8632,3.0439,1.1153,0.4264,0.0541,1.6128,0.8463,0.6790,0.3821,2.7337,1.2011,0.3614,0.2652,6.4905,1.8098,2.1841,1.2771,3.9523,0.9965,1.2874,0.9742,0.8216,2.0451,0.9779,1.1996,0.8216,3,2.1841,2,1.0958,1.1107,2.5500,1.2011,0.4115,0.2652,-21.6212,0.6682,32016325566.5140,0.3983,19085218197.6262,19085218197.6262,19085218197.6262,12.5900,1.0000,0.2254,3.0000,-1.0000,22.0739,20.5930,19.8513,19.4948,19.1950,22.0042,20.1456,18.7740,18.5566,20.8769,18.8380,-20.1787,2.2227,10.0900,-0.6300,-10.7200,8.8000,578.4581,855.0521,1267.4618,624.6179,18.7703,18.8700,18.9887,20.5080,54.6589,72.6823,1.1085,1.1085,0.0111,1.0991,1.1133,1.0921,1.1061,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_1_20236_2D.pdf,7.9500,0.0111
15,21548,1,cosmos,1.6960,0.0904,1.2594,0.3965,1.3922,0.4842,1.7566,0.1594,1.4309,0.1985,1.1110,0.1772,2.1914,0.7619,0.1019,0.0671,1.4435,0.5900,0.3540,0.2187,1.5666,0.6497,0.3196,0.3545,1.6872,0.3105,1.2767,0.3395,1.6035,0.4523,0.4102,0.3639,0.2926,0.4622,0.3951,0.5075,0.2926,3,1.1110,3,1.1050,1.1081,1.3922,0.6497,0.4842,0.3545,-19.7148,0.3697,3059924694.8378,0.3165,2620120017.3409,3712877918.3404,3712877918.3404,5.8900,1.0000,0.2196,2.0000,-1.0000,23.5799,22.1234,21.4277,21.1177,20.8774,23.5020,21.7021,20.5524,20.3800,22.3989,20.6510,-18.5423,2.1522,9.3300,-1.2100,-10.5400,8.6000,213.0102,359.9311,527.7737,329.7327,20.5401,20.6261,20.7281,22.0221,49.6956,22.4637,1.1205,1.1208,0.0239,1.1018,1.1186,1.0992,1.1159,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_1_21548_2D.pdf,6.4000,0.0239
26,17321,10,cosmos,2.5584,0.2848,1.3088,0.5748,1.5215,0.5989,1.9680,0.7830,2.3083,0.4163,2.2360,0.3420,3.2418,1.1542,0.2565,0.0572,1.4844,0.6444,0.5376,0.2192,1.8164,0.7051,0.4442,0.3344,4.5292,1.0683,2.1744,0.6655,3.3554,0.4300,0.7217,0.6287,0.5825,1.3427,0.7108,0.8380,0.5825,3,1.9680,1,1.1042,1.1142,1.5215,0.7051,0.5989,0.3344,-21.5378,0.3697,16402036749.6117,0.3165,14044562889.1846,19902045356.2729,19902045356.2729,6.5640,1.0000,0.2184,2.0000,-1.0000,22.0866,20.5761,19.8875,19.5501,19.2825,22.0188,20.1470,18.9013,18.7038,20.8522,18.9902,-20.0725,2.1991,9.9000,-1.0000,-10.9000,8.4000,855.1274,1506.5487,2124.7140,1328.4208,18.8908,18.9928,19.1084,20.4727,55.9577,73.9223,1.1240,1.1242,0.0136,1.0972,1.1179,1.0951,1.1162,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_10_17321_2D.pdf,9.4000,0.0136
27,17943,10,cosmos,2.7678,0.3683,1.5707,0.5942,1.3561,0.7617,2.7695,0.7045,2.7327,0.5823,2.5538,0.2925,3.6567,1.0183,0.3226,0.0589,1.8296,0.5107,0.5311,0.1024,1.5818,0.6437,0.5851,0.3678,3.1834,0.9590,2.7571,0.7026,13.7160,0.4928,0.8433,0.7832,0.6227,1.0340,0.8401,2.8770,0.6227,3,2.5538,3,1.0950,1.1077,1.3561,0.6437,0.7617,0.3678,-21.9592,0.5583,36519444647.2853,0.3983,26056254486.0133,26056254486.0133,26056254486.0133,5.7700,1.0000,0.2207,1.0000,0.2207,21.8872,20.2970,19.5598,19.2117,18.9214,21.8160,19.8465,18.5148,18.3051,20.5910,18.5920,-20.4202,2.3274,10.0900,-1.5200,-11.6100,8.4000,1314.2306,2098.2820,3730.9248,1527.3171,18.5060,18.6022,18.7366,20.1642,58.3543,112.1351,1.1200,1.1201,0.0136,1.0926,1.1189,1.0903,1.1165,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_10_17943_2D.pdf,6.7000,0.0136
36,11218,24,cosmos,2.4507,0.1910,1.0925,0.5464,1.9500,0.2611,4.6702,0.6427,3.2865,0.5030,3.0643,0.5592,2.9547,1.1227,0.1636,0.0613,1.1852,0.4981,0.5168,0.1955,2.1289,0.7292,0.2194,0.1810,6.1525,1.1042,3.3545,0.5135,3.7359,0.4484,1.1855,0.8563,0.8375,1.6735,0.8740,0.9198,0.8375,3,3.0643,3,1.1214,1.1281,1.9500,0.7292,0.2611,0.1810,-22.6539,0.3183,39480028791.3435,0.1874,23248426894.8491,40841706708.7703,40841706708.7703,6.4880,1.0000,0.3607,1.0000,0.3607,22.1726,20.5999,19.8988,19.5701,19.2738,22.1029,20.1639,18.8530,18.6262,20.8882,18.9655,-21.1912,2.2739,10.4100,-2.0800,-12.4900,8.4000,665.5474,1219.3481,1991.8230,963.9939,18.9639,19.0919,19.2302,20.9158,31.6744,58.6396,1.1293,1.1293,0.0099,1.1065,1.1155,1.1036,1.1125,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_24_11218_2D.pdf,6.2900,0.0099
38,11577,24,cosmos,2.6514,0.3490,1.3094,0.6329,1.2086,0.5471,3.8868,1.1271,4.8864,0.5740,4.3177,0.3129,3.3365,1.1167,0.3184,0.0560,1.3990,0.6586,0.6159,0.3222,1.5621,0.5361,0.5810,0.3141,5.7134,1.4491,4.6798,0.7216,13.4029,0.5536,1.2435,1.1978,0.9741,1.7378,1.2216,2.8426,0.9741,3,3.8868,1,1.1017,1.1138,1.2086,0.5361,0.5471,0.3141,-22.4227,0.3697,37056469951.6482,0.3165,31730322924.6468,31730322924.6468,31730322924.6468,11.8190,1.0000,0.2199,1.0000,0.2199,21.4371,19.8865,19.1908,18.8594,18.5815,21.3638,19.4553,18.1846,17.9689,20.1702,18.2561,-20.7792,2.2462,10.1600,-0.7400,-10.9000,8.4000,730.3779,1607.4092,2518.9282,1453.1769,18.1975,18.2591,18.4005,19.7712,70.0592,93.4486,1.1193,1.1195,0.0120,1.1004,1.1194,1.0900,1.1088,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_24_11577_2D.pdf,7.8500,0.0120
42,12115,26,cosmos,1.3176,0.5275,0.9733,0.9212,1.8000,0.6805,1.6343,0.5800,1.0954,0.8095,1.2422,0.7295,1.6257,0.5919,0.5355,0.0811,1.1450,0.4273,0.8759,0.1841,2.0875,0.8934,0.5839,0.3862,1.7175,0.9182,1.0840,0.9009,1.2691,0.7768,0.5689,0.5637,0.5576,0.7317,0.6011,0.5833,0.5576,3,1.0840,2,1.0935,1.1118,1.8000,0.8934,0.6805,0.3862,-22.4959,0.4178,44804274273.9064,0.1874,20100206149.4011,35311065477.7913,35311065477.7913,9.0870,1.0000,0.3607,1.0000,0.3607,22.9964,21.4447,20.6520,20.2636,19.9469,22.9191,20.9659,19.4500,19.1863,21.7398,19.5149,-20.4380,2.3444,10.2000,-0.8900,-11.0900,8.6000,377.2195,511.8992,791.6324,255.6788,19.5838,19.7194,19.9066,21.8593,35.4584,39.3842,1.1160,1.1160,0.0177,1.0930,1.1164,1.0892,1.1129,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_26_12115_2D.pdf,6.1800,0.0177
48,31165,9,goodss,2.5021,0.4144,1.1674,0.7389,3.0000,0.2403,8.3100,3.5076,9.9144,1.8956,7.6595,2.5239,3.3857,1.0195,0.3877,0.0478,1.3414,0.5943,0.7017,0.2955,2.8952,1.4152,0.2412,0.1915,8.6942,4.9358,9.4440,2.4397,9.9059,2.3754,3.1346,2.7472,2.5818,3.8286,2.8918,2.9536,2.5818,3,7.6595,3,1.0923,1.1116,3.0000,1.4152,0.2403,0.1915,-22.8539,0.7173,106974491029.6570,0.6350,94695062613.6335,94695062613.6335,94695062613.6335,14.1450,1.0000,0.2960,1.0000,0.2960,21.2902,19.6773,18.9610,18.6362,18.3697,21.2269,19.2252,17.9588,17.7158,19.9737,18.0156,-21.6790,2.3292,10.6900,-4.3100,-15.0000,8.4000,808.9882,1685.6632,2229.5340,2008.8792,17.9885,18.1070,18.2304,19.8184,47.8264,140.7333,1.0999,1.0999,0.0073,1.1031,1.1114,1.0955,1.1037,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodss_9_31165_2D.pdf,9.1200,0.0073
54,24951,2,uds,2.2508,0.7776,1.3438,1.0749,2.3500,0.7686,8.1874,3.1175,4.7723,2.3521,4.8250,2.1460,2.6026,0.9821,0.7773,0.0383,0.9718,0.8583,1.1757,0.5972,2.6401,1.0291,0.7219,0.2087,8.5966,3.6086,11.3495,1.4639,6.4003,2.6460,2.9417,1.9466,1.8675,3.2341,2.8386,2.3902,1.8675,3,4.7723,2,1.0927,1.1192,2.3500,1.0291,0.7686,0.2087,-23.6562,0.5718,178545232710.0080,0.3983,124371545404.2360,124371545404.2360,124371545404.2360,11.1690,1.0000,0.3250,1.0000,0.3250,21.6995,20.0316,19.2299,18.8435,18.4838,21.6384,19.5556,18.0109,17.7189,20.3427,18.0287,-21.6201,2.4696,10.7300,-4.0900,-14.8300,8.2000,942.1453,1341.3479,2033.0927,899.8280,18.1003,18.2163,18.3871,20.2704,56.9913,119.5894,1.1175,1.1175,0.0081,1.0877,1.1141,1.0819,1.1081,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_2_24951_2D.pdf,9.0800,0.0081
